#ResPipeUI	ARO_accession	ARO_name	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	Antibiotic	Efflux_Component	Efflux_Regulator	CVTERMID	gb	Species	SeqLength
3003223_U00096	ARO:3003223	Escherichia coli 16S rRNA mutation conferring resistance to edeine	16s_rRNA_with_mutation_conferring_resistance_to_peptide_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;confers_resistance_to_drug__edeine_A;confers_resistance_to_drug__edeine_B;confers_resistance_to_drug__edeine_D;confers_resistance_to_drug__edeine_F;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	39807	U00096	Escherichia coli K-12	1542
3003052_AF173226	ARO:3003052	smeB	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;cephalosporin;cephamycin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	Unassigned	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	39486	AF173226	Stenotrophomonas maltophilia	3150
3003053_AF173226	ARO:3003053	smeC	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;cephalosporin;cephamycin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	Unassigned	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	39487	AF173226	Stenotrophomonas maltophilia	1416
3003067_AF173226	ARO:3003067	smeS	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;cephalosporin;cephamycin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	Unassigned	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	protein(s)_and_two-component_regulatory_system_modulating_antibiotic_efflux	39501	AF173226	Stenotrophomonas maltophilia	1404
3003014_AF174129	ARO:3003014	dfrA16	trimethoprim_resistant_dihydrofolate_reductase_dfr	diaminopyrimidine_antibiotic	antibiotic_target_replacement	trimethoprim;brodimoprim;tetroxoprim;iclaprim	Unassigned	Unassigned	39448	AF174129	Escherichia coli	474
3001872_AF174129	ARO:3001872	CTX-M-9	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38272	AF174129	Escherichia coli	876
3001816_AF180952	ARO:3001816	ACC-2	ACC_beta-lactamase	cephalosporin;monobactam;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38216	AF180952	Hafnia alvei	1173
3001817_AF180958	ARO:3001817	ACC-3	ACC_beta-lactamase	cephalosporin;monobactam;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38217	AF180958	Hafnia alvei	1131
3004680_AF182845.2	ARO:3004680	APH(3')-VIIIa	APH(3')	aminoglycoside_antibiotic	antibiotic_inactivation	neomycin;G418	Unassigned	Unassigned	42729	AF182845.2	Streptomyces rimosus	804
3000936_AF188199	ARO:3000936	TEM-70	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37316	AF188199	Escherichia coli	861
3001871_AF189721	ARO:3001871	CTX-M-8	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38271	AF189721	Citrobacter amalonaticus	876
3000946_AF190692	ARO:3000946	TEM-79	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37326	AF190692	Escherichia coli	861
3000944_AF190693	ARO:3000944	TEM-78	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37324	AF190693	Escherichia coli	861
3000942_AF190694	ARO:3000942	TEM-76	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37322	AF190694	Escherichia coli	861
3000849_AF197943	ARO:3000849	SFH-1	SFH_beta-lactamase	carbapenem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37229	AF197943	Serratia fonticola	705
3001420_AF201826	ARO:3001420	OXA-25	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37820	AF201826	Acinetobacter baumannii	828
3001421_AF201827	ARO:3001421	OXA-26	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37821	AF201827	Acinetobacter baumannii	828
3001422_AF201828.2	ARO:3001422	OXA-27	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37822	AF201828.2	Acinetobacter baumannii	822
3000937_AF203816	ARO:3000937	TEM-71	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37317	AF203816	Klebsiella pneumoniae	861
3001405_AF205943	ARO:3001405	OXA-10	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37805	AF205943	Escherichia coli	801
3001083_AF208796	ARO:3001083	SHV-25	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37463	AF208796	Klebsiella pneumoniae	861
3002257_AF219127	ARO:3002257	IND-2	IND_beta-lactamase	carbapenem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38657	AF219127	Chryseobacterium indologenes	732
3002258_AF219130	ARO:3002258	IND-2a	IND_beta-lactamase	carbapenem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38658	AF219130	Chryseobacterium indologenes	732
3002259_AF219131	ARO:3002259	IND-3	IND_beta-lactamase	carbapenem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38659	AF219131	Chryseobacterium indologenes	720
3002260_AF219135	ARO:3002260	IND-4	IND_beta-lactamase	carbapenem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38660	AF219135	Chryseobacterium indologenes	729
3003309_AF222894.1	ARO:3003309	Ureaplasma urealyticum parC conferring resistance to fluoroquinolone	fluoroquinolone_resistant_parC	fluoroquinolone_antibiotic	antibiotic_target_alteration	confers_resistance_to_drug__enoxacin;confers_resistance_to_drug__ciprofloxacin;confers_resistance_to_drug__levofloxacin;confers_resistance_to_drug__moxifloxacin;confers_resistance_to_drug__gatifloxacin;confers_resistance_to_drug__lomefloxacin;confers_resistance_to_drug__nalidixic_acid;confers_resistance_to_drug__norfloxacin;confers_resistance_to_drug__ofloxacin;confers_resistance_to_drug__trovafloxacin;confers_resistance_to_drug__grepafloxacin;confers_resistance_to_drug__sparfloxacin;confers_resistance_to_drug__pefloxacin	Unassigned	Unassigned	39893	AF222894.1	Ureaplasma parvum serovar 3 str. ATCC 700970	2553
3001073_AF226622	ARO:3001073	SHV-14	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37453	AF226622	Klebsiella pneumoniae	861
3001084_AF227204	ARO:3001084	SHV-26	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37464	AF227204	Klebsiella pneumoniae	861
3000616_AF227521.1	ARO:3000616	mel	ABC-F_ATP-binding_cassette_ribosomal_protection_protein	confers_resistance_to__streptogramin_antibiotic;lincosamide_antibiotic;macrolide_antibiotic;oxazolidinone_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;tetracycline_antibiotic	antibiotic_target_protection	confers_resistance_to_drug__erythromycin;confers_resistance_to_drug__telithromycin	Unassigned	Unassigned	36910	AF227521.1	Streptococcus pyogenes	1218
3001423_AF231133	ARO:3001423	OXA-28	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37823	AF231133	Pseudomonas aeruginosa	801
3002705_AF231986	ARO:3002705	floR	major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump	acridine_dye;antibacterial_free_fatty_acids;benzalkonium_chloride;bicyclomycin;cephalosporin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;fosfomycin;glycylcycline;isoniazid;lincosamide_antibiotic;macrolide_antibiotic;nitroimidazole_antibiotic;nucleoside_antibiotic;oxazolidinone_antibiotic;penam;peptide_antibiotic;phenicol_antibiotic;rhodamine;rifamycin_antibiotic;tetracycline_antibiotic	antibiotic_efflux	confers_resistance_to_drug__chloramphenicol;confers_resistance_to_drug__florfenicol	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	39139	AF231986	Escherichia coli	1215
3003318_AF235050.4	ARO:3003318	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	aminocoumarin_self_resistant_parY	aminocoumarin_antibiotic	antibiotic_target_alteration	confers_resistance_to_drug__novobiocin;confers_resistance_to_drug__clorobiocin;confers_resistance_to_drug__coumermycin_A1	Unassigned	Unassigned	39902	AF235050.4	Streptomyces rishiriensis	2112
3000375_AF242872.1	ARO:3000375	ErmB	Erm_23S_ribosomal_RNA_methyltransferase	lincosamide_antibiotic;macrolide_antibiotic;streptogramin_antibiotic	antibiotic_target_alteration	confers_resistance_to_drug__erythromycin;confers_resistance_to_drug__roxithromycin;confers_resistance_to_drug__lincomycin;confers_resistance_to_drug__telithromycin;confers_resistance_to_drug__clarithromycin;confers_resistance_to_drug__clindamycin;confers_resistance_to_drug__tylosin;confers_resistance_to_drug__spiramycin;confers_resistance_to_drug__azithromycin;confers_resistance_to_drug__dirithromycin;confers_resistance_to_drug__pristinamycin_IA;confers_resistance_to_drug__quinupristin;confers_resistance_to_drug__pristinamycin_IIA;confers_resistance_to_drug__madumycin_II;confers_resistance_to_drug__griseoviridin;confers_resistance_to_drug__dalfopristin;confers_resistance_to_drug__pristinamycin_IB;confers_resistance_to_drug__virginiamycin_S2;confers_resistance_to_drug__vernamycin_B-gamma;confers_resistance_to_drug__vernamycin_C;confers_resistance_to_drug__patricin_A;confers_resistance_to_drug__ostreogrycin_B3;confers_resistance_to_drug__oleandomycin	Unassigned	Unassigned	36514	AF242872.1	Enterococcus faecium	747
3002844_AF242872	ARO:3002844	vatE	streptogramin_vat_acetyltransferase	streptogramin_antibiotic	antibiotic_inactivation	pristinamycin_IIA;madumycin_II;griseoviridin;dalfopristin	Unassigned	Unassigned	39278	AF242872	Enterococcus faecium	645
3002195_AF244145	ARO:3002195	IMP-4	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38595	AF244145	Acinetobacter baumannii	741
3000954_AF250872	ARO:3000954	TEM-87	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37334	AF250872	Proteus mirabilis	861
3004659_AF251288.1	ARO:3004659	Mef(En2)	major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump	acridine_dye;antibacterial_free_fatty_acids;benzalkonium_chloride;bicyclomycin;cephalosporin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;fosfomycin;glycylcycline;isoniazid;lincosamide_antibiotic;macrolide_antibiotic;nitroimidazole_antibiotic;nucleoside_antibiotic;oxazolidinone_antibiotic;penam;peptide_antibiotic;phenicol_antibiotic;rhodamine;rifamycin_antibiotic;tetracycline_antibiotic	antibiotic_efflux	Unassigned	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	42698	AF251288.1	Bacteroides fragilis	1206
3001877_AF252622	ARO:3001877	CTX-M-14	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38277	AF252622	Escherichia coli	876
3001876_AF252623	ARO:3001876	CTX-M-13	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38276	AF252623	Klebsiella pneumoniae	876
3002133_AF259520	ARO:3002133	DHA-2	DHA_beta-lactamase	cephalosporin;cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38533	AF259520	Klebsiella pneumoniae	1140
3002583_AF263519.1	ARO:3002583	AAC(6')-29a	AAC(6')	aminoglycoside_antibiotic	antibiotic_inactivation	neomycin;dibekacin;amikacin;sisomicin;netilmicin;kanamycin_A;tobramycin;isepamicin;arbekacin;gentamicin_B	Unassigned	Unassigned	38983	AF263519.1	Pseudomonas aeruginosa	396
3002380_AF275256	ARO:3002380	SME-2	SME_beta-lactamase	carbapenem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38780	AF275256	Serratia marcescens	885
3002196_AF290912	ARO:3002196	IMP-5	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38596	AF290912	Acinetobacter baumannii	741
3001085_AF293345	ARO:3001085	SHV-27	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37465	AF293345	Klebsiella pneumoniae	861
3002696_AF294653	ARO:3002696	cmlA6	major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump	acridine_dye;antibacterial_free_fatty_acids;benzalkonium_chloride;bicyclomycin;cephalosporin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;fosfomycin;glycylcycline;isoniazid;lincosamide_antibiotic;macrolide_antibiotic;nitroimidazole_antibiotic;nucleoside_antibiotic;oxazolidinone_antibiotic;penam;peptide_antibiotic;phenicol_antibiotic;rhodamine;rifamycin_antibiotic;tetracycline_antibiotic	antibiotic_efflux	confers_resistance_to_drug__chloramphenicol	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	39130	AF294653	Pseudomonas aeruginosa	1260
3001425_AF294653	ARO:3001425	OXA-31	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37825	AF294653	Pseudomonas aeruginosa	831
3001086_AF299299	ARO:3001086	SHV-28	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37466	AF299299	Klebsiella pneumoniae	861
3002273_AF300454	ARO:3002273	VIM-3	VIM_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38673	AF300454	Pseudomonas aeruginosa	801
3001430_AF300985	ARO:3001430	OXA-36	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37830	AF300985	Pseudomonas aeruginosa	738
3001087_AF301532	ARO:3001087	SHV-29	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37467	AF301532	Klebsiella pneumoniae	861
3001875_AF305837	ARO:3001875	CTX-M-12	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38275	AF305837	Klebsiella pneumoniae	876
3004448_AF311385.1	ARO:3004448	HERA-1	HERA_beta-lactamase	penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	41642	AF311385.1	Atlantibacter hermannii	873
3002240_AF313471	ARO:3002240	CARB-1	CARB_beta-lactamase	penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38640	AF313471	Pseudomonas aeruginosa	867
3002639_AF313472	ARO:3002639	APH(3'')-Ib	APH(3'')	aminoglycoside_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__streptomycin	Unassigned	Unassigned	39039	AF313472	Pseudomonas aeruginosa	804
3002819_AF313494	ARO:3002819	msrC	ABC-F_ATP-binding_cassette_ribosomal_protection_protein	confers_resistance_to__macrolide_antibiotic;confers_resistance_to__streptogramin_antibiotic;lincosamide_antibiotic;oxazolidinone_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;tetracycline_antibiotic	antibiotic_target_protection	erythromycin	Unassigned	Unassigned	39253	AF313494	Enterococcus faecium	1479
3001426_AF315351	ARO:3001426	OXA-32	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37826	AF315351	Pseudomonas aeruginosa	828
3001429_AF315786	ARO:3001429	OXA-35	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37829	AF315786	Pseudomonas aeruginosa	801
3002271_AF317511	ARO:3002271	VIM-1	VIM_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38671	AF317511	Pseudomonas aeruginosa	801
3002198_AF318077	ARO:3002198	IMP-7	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38598	AF318077	Pseudomonas aeruginosa	741
3000604_AF319779.2	ARO:3000604	Erm(35)	Erm_23S_ribosomal_RNA_methyltransferase	lincosamide_antibiotic;macrolide_antibiotic;streptogramin_antibiotic	antibiotic_target_alteration	confers_resistance_to_drug__erythromycin;confers_resistance_to_drug__roxithromycin;confers_resistance_to_drug__lincomycin;confers_resistance_to_drug__telithromycin;confers_resistance_to_drug__clarithromycin;confers_resistance_to_drug__clindamycin;confers_resistance_to_drug__tylosin;confers_resistance_to_drug__spiramycin;confers_resistance_to_drug__azithromycin;confers_resistance_to_drug__dirithromycin;confers_resistance_to_drug__pristinamycin_IA;confers_resistance_to_drug__quinupristin;confers_resistance_to_drug__pristinamycin_IIA;confers_resistance_to_drug__madumycin_II;confers_resistance_to_drug__griseoviridin;confers_resistance_to_drug__dalfopristin;confers_resistance_to_drug__pristinamycin_IB;confers_resistance_to_drug__virginiamycin_S2;confers_resistance_to_drug__vernamycin_B-gamma;confers_resistance_to_drug__vernamycin_C;confers_resistance_to_drug__patricin_A;confers_resistance_to_drug__ostreogrycin_B3;confers_resistance_to_drug__oleandomycin	Unassigned	Unassigned	36743	AF319779.2	Bacteroides coprosuis DSM 18011	801
3003561_AF321608	ARO:3003561	Sed-1	Sed_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	40167	AF321608	Citrobacter sedlakii	888
3002199_AF322577	ARO:3002199	IMP-8	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38599	AF322577	Klebsiella pneumoniae	741
3002378_AF324833.1	ARO:3002378	VEB-9	VEB_beta-lactamase	cephalosporin;monobactam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38778	AF324833.1	Pseudomonas aeruginosa	900
3003712_AF324834.1	ARO:3003712	VEB-1b	VEB_beta-lactamase	cephalosporin;monobactam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	40366	AF324834.1	Pseudomonas aeruginosa	900
3001881_AF325134	ARO:3001881	CTX-M-19	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38281	AF325134	Klebsiella pneumoniae	876
3002331_AF326355	ARO:3002331	GES-2	GES_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38731	AF326355	Pseudomonas aeruginosa	864
3002337_AF329699	ARO:3002337	GES-8	GES_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38737	AF329699	Pseudomonas aeruginosa	864
3000931_AF332513	ARO:3000931	TEM-63	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37311	AF332513	Escherichia coli	861
3003385_AF335467	ARO:3003385	Klebsiella aerogenes Omp36	General_Bacterial_Porin_with_reduced_permeability_to_beta-lactams	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	reduced_permeability_to_antibiotic	Unassigned	Unassigned	Unassigned	39969	AF335467	Klebsiella aerogenes	1128
3004629_AF337947.1	ARO:3004629	AAC(6')-Im	AAC(6')	aminoglycoside_antibiotic	antibiotic_inactivation	neomycin;confers_resistance_to_drug__dibekacin;confers_resistance_to_drug__amikacin;sisomicin;confers_resistance_to_drug__netilmicin;confers_resistance_to_drug__kanamycin_A;confers_resistance_to_drug__tobramycin;isepamicin;arbekacin;gentamicin_B	Unassigned	Unassigned	42615	AF337947.1	Escherichia coli	537
3002635_AF337947	ARO:3002635	APH(2'')-IIa	APH(2'')	aminoglycoside_antibiotic	antibiotic_inactivation	amikacin;gentamicin_C;sisomicin;netilmicin;kanamycin_A;tobramycin;isepamicin;arbekacin;gentamicin_B;confers_resistance_to_drug__plazomicin	Unassigned	Unassigned	39035	AF337947	Escherichia coli	900
3000947_AF347054	ARO:3000947	TEM-80	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37327	AF347054	Enterobacter cloacae	861
3001428_AF350424	ARO:3001428	OXA-34	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37828	AF350424	Pseudomonas aeruginosa	771
3000957_AF351241	ARO:3000957	TEM-90	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37337	AF351241	Escherichia coli	861
3000481_AF353562.1	ARO:3000481	tet(35)	ATP-binding_cassette_(ABC)_antibiotic_efflux_pump	acridine_dye;cephalosporin;fluoroquinolone_antibiotic;macrolide_antibiotic;nitroimidazole_antibiotic;penam;peptide_antibiotic;pleuromutilin_antibiotic;rifamycin_antibiotic;tetracycline_antibiotic	antibiotic_efflux	confers_resistance_to_drug__tetracycline	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	36620	AF353562.1	Vibrio harveyi	1110
3002600_AF355189	ARO:3002600	AAC(3)-Ib/AAC(6')-Ib''	AAC(3)	aminoglycoside_antibiotic	antibiotic_inactivation	neomycin;dibekacin;amikacin;confers_resistance_to_drug__gentamicin_C;sisomicin;netilmicin;confers_resistance_to_drug__kanamycin_A;confers_resistance_to_drug__tobramycin;isepamicin;arbekacin;gentamicin_B	Unassigned	Unassigned	39000	AF355189	Pseudomonas aeruginosa	1005
3002021_AF357597	ARO:3002021	CMY-10	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38421	AF357597	Klebsiella aerogenes	1149
3002022_AF357599	ARO:3002022	CMY-11	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38422	AF357599	Escherichia coli	1149
3002843_AF368302	ARO:3002843	vatD	streptogramin_vat_acetyltransferase	streptogramin_antibiotic	antibiotic_inactivation	pristinamycin_IIA;madumycin_II;griseoviridin;dalfopristin	Unassigned	Unassigned	39277	AF368302	Enterococcus faecium	615
3000774_AF370885.1	ARO:3000774	adeA	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	tigecycline;tetracycline	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	37154	AF370885.1	Acinetobacter baumannii	1191
3000775_AF370885.1	ARO:3000775	adeB	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	tigecycline;tetracycline	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	37155	AF370885.1	Acinetobacter baumannii	3108
3001768_AF371964	ARO:3001768	OXA-118	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38168	AF371964	Burkholderia cepacia	801
3002313_AF395881	ARO:3002313	KPC-3	KPC_beta-lactamase	carbapenem;cephalosporin;monobactam;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38713	AF395881	Klebsiella pneumoniae	882
3004669_AF403298.1	ARO:3004669	emtA	non-erm_23S_ribosomal_RNA_methyltransferase_(G748)	lincosamide_antibiotic;macrolide_antibiotic	antibiotic_target_alteration	Unassigned	Unassigned	Unassigned	42716	AF403298.1	Enterococcus faecium	1026
3003206_AF408195.1	ARO:3003206	lsaE	ABC-F_ATP-binding_cassette_ribosomal_protection_protein	confers_resistance_to__lincosamide_antibiotic;macrolide_antibiotic;oxazolidinone_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;streptogramin_antibiotic;tetracycline_antibiotic	antibiotic_target_protection	confers_resistance_to_drug__pleuromutilin	Unassigned	Unassigned	39790	AF408195.1	Enterococcus faecalis	804
3002246_AF409092	ARO:3002246	CARB-7	CARB_beta-lactamase	penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38646	AF409092	Vibrio cholerae non-O1/non-O139	867
3000842_AF416700	ARO:3000842	EBR-1 beta-lactamase	EBR_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37222	AF416700	Empedobacter brevis	708
3000948_AF427127	ARO:3000948	TEM-81	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37328	AF427127	Escherichia coli	861
3000949_AF427128	ARO:3000949	TEM-82	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37329	AF427128	Escherichia coli	861
3000950_AF427129	ARO:3000950	TEM-83	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37330	AF427129	Escherichia coli	861
3000951_AF427130	ARO:3000951	TEM-84	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37331	AF427130	Escherichia coli	861
3004294_AF440406.1	ARO:3004294	BUT-1	BUT_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	41460	AF440406.1	Buttiauxella agrestis	1194
3000843_AF441286	ARO:3000843	MUS-1	MUS_beta-lactamase	carbapenem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37223	AF441286	Myroides odoratimimus	741
3000844_AF441287	ARO:3000844	TUS-1	TUS_beta-lactamase	carbapenem;cephalosporin;cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37224	AF441287	Myroides odoratus DSM 2801	747
